Unnamed: 0,ID,Training Source,Home Office/Metro Area,Organization Number,Organization,Capability,Function 2,Career Level,Function,Function Name,Title,Training Type,Training Provider,Training Delivery Type,Training Location,Course Name,Course URL / Code,Vendor Name,Conference Name,Course or Event Name,Certification Type,Certification Name,Certification URL,Is there a course with this certification?,Consolidated Course Name,Category,Activity,Support Group,Assigned To,Request Status,Start Date,End Date,Start Mo/Yr,End Mo/Yr,Start FY,End FY,Business Justification,What % of the conference is business development?,Training Hours,Travel Required,Individual Travel Hours,Rqst Tot Labor Hrs,Airfare,Hotel,Per Diem,Other,Estimated Individual Travel,Misc Expenses,Certification Fee,Conference Fee,Course Fee,Catering,Facility Rental,Vendor Charge,Direct Other Expenses,Describe Other Expenses,Direct Expense Impact,Rqst NPR Alloc,Rqst NPR OH,Cancel No Response,Created,Retroactive Start Date,Duplicates,Reporting Status
11,TAS0012829,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,6,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,AFS Quality Assurance and Risk Management Workshop,A15315-02,,,,,,,,AFS Quality Assurance and Risk Management Workshop,ACN/AFS Curriculum,AFS QA/Risk Mgmt Workshop,TAS TC Advanced Tech & Arch Approval Group,,Training Complete,3/13/17 0:00,3/13/17,07_Mar,07_Mar,FY17,FY17,Accenture curriculum,,4.0,No,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,0.0,True,42789.487689999994,True,NO,3. Complete
12,TAS0013867,TAS,Philadelphia GS 2005 Market,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,6,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,AFS Quality Assurance and Risk Management Workshop,A15315-02,,,,,,,,AFS Quality Assurance and Risk Management Workshop,ACN/AFS Curriculum,AFS QA/Risk Mgmt Workshop,TAS TC Advanced Tech & Arch Approval Group,,Training Complete,3/13/17 0:00,3/13/17,07_Mar,07_Mar,FY17,FY17,Accenture curriculum,,4.0,No,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,0.0,True,42802.63201,True,NO,3. Complete
13,TAS0014930,TAS,San Fran Corp 560 Mission,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,Agile Delivery School,https://mylearning.accenture.com/myl-ui/learner/activitySupDetails?activityId=1083056&sessionId=1377,,,,,,,,Agile Delivery School,Tech Arch,Agile Delivery School,TAS TC Advanced Tech & Arch Approval Group,,Approved,5/9/17 0:00,5/10/17,09_May,09_May,FY17,FY17,Current project/role,,16.0,No,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,0.0,True,42825.495339999994,True,NO,2. Approved
14,TAS0014850,TAS,Dallas Corp 5221 O'Connor Las Colinas,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,7,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Vendor All Other,Elective Course,Vendor All Other,Virtual,,Amazon Certified Solutions Architect - Associate Level,https://linuxacademy.com/amazon-web-services/training/course/name/aws-certified-solutions-architect-,LINUX ACADEMY,,,,,,,Amazon Certified Solutions Architect - Associate Level,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,,Training Complete,4/5/17 0:00,4/26/17,08_Apr,08_Apr,FY17,FY17,Career growth,,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,58.0,0,0,0,0,,,58.0,0.0,True,42823.64079,True,NO,3. Complete
15,TAS0009481,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.003,TC Analyst Apprentice,Analyst,TC,10,TC,Technology Consulting,Conference  -  Technology Consulting  -  Vendor,Conference,Vendor,,"Chelsea Piers Pier 60, New York, NY",,,Apigee,Adapt or Die World Tour,,,,,,Adapt or Die World Tour,Oracle,Conf - Adapt or Die - Not on approved list,TAS TC Analyst Apprentice Approval Group,,Training Complete,10/11/16 0:00,10/11/16,02_Oct,02_Oct,FY17,FY17,Other,100.0,8.0,Yes,7.0,15.0,350.0,0.0,0.0,0.0,350.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,350.0,True,42629.43329,True,NO,3. Complete
16,TAS0016242,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,Artificial Intelligence Developer Hackathon,A36021-001,,,,,,,,Artificial Intelligence Developer Hackathon,AI,AI Hackathon,TAS TC Advanced Tech & Arch Approval Group,,Approved,5/11/17 0:00,5/12/17,09_May,09_May,FY17,FY17,Career growth,,16.0,No,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,0.0,True,42852.42465,True,NO,2. Approved
17,TAS0010018,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,6,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Vendor All Other,Elective Course,Vendor All Other,Classroom,,AWS Best Practices Delivery Bootcamp,,Amazon Web Services,,,,,,,AWS Best Practices Delivery Bootcamp,Cloud,AWS Best Practices Delivery Bootcamp,TAS TC Advanced Tech & Arch Approval Group,,Training Complete,9/13/16 0:00,9/15/16,01_Sep,01_Sep,FY17,FY17,Career growth,,24.0,No,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,0.0,True,42660.48637,True,NO,3. Complete
18,TAS0010596,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,6,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Classroom,"Arlington, VA",Certified ScrumMaster,https://www.scrumalliance.org/courses-events/courses/csm/united-states/virginia/arlington/2016/novem,Excella Consulting,,,New,Certified ScrumMaster,https://www.scrumalliance.org/certifications/practitioners/certified-scrummaster-csm,Yes,Certified ScrumMaster - Certified ScrumMaster,Agile,CSM - should direct to AWF vs. vendor,TAS TC Advanced Tech & Arch Approval Group,,Training Complete,11/21/16 0:00,11/22/16,03_Nov,03_Nov,FY17,FY17,Upcoming project/role,,16.0,Yes,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1300.0,0,0,0,0,,,1300.0,0.0,True,42688.583439999995,True,NO,3. Complete
19,TAS0009506,TAS,Florham Park GS 500 Campus,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Accenture,Certification,Accenture,Classroom,NYC,Leading SAFe,A03643-0042,,,,New,SAFe 4.0,http://www.scaledagile.com/leading-safe/,Yes,SAFe 4.0 - Leading SAFe,Analytics/Big Data,Scaled Agile Framework (SAFe),TAS TC Advanced Tech & Arch Approval Group,,Training Complete,10/3/16 0:00,10/4/16,02_Oct,02_Oct,FY17,FY17,Career growth,,16.0,Yes,6.0,22.0,0.0,587.41,0.0,0.0,587.41,0.0,0.0,0,0.0,0,0,0,0,,,0.0,587.41,True,42632.50723,True,NO,3. Complete
20,TAS0015780,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,7,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Classroom,,,,Amazon,,,New,AWS Certified Developer - Associate,https://aws.amazon.com/certification/certified-developer-associate/,No,AWS Certified Developer - Associate,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,,Approved,6/30/17 0:00,6/30/17,10_Jun,10_Jun,FY17,FY17,Career growth,,2.0,No,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0,0.0,0,0,0,0,,,0.0,150.0,True,42842.465019999996,True,NO,
21,TAS0013562,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,AWS Certified Developer - Associate Level,https://linuxacademy.com/amazon-web-services/training/course/name/aws-certified-developer-associate-,Amazon,,,New,AWS Certified Developer - Associate,https://aws.amazon.com/certification/certified-developer-associate/,Yes,AWS Certified Developer - Associate - AWS Certified Developer - Associate Level,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,,Approved,3/6/17 0:00,7/31/17,07_Mar,11_Jul,FY17,FY17,Other,,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0,58.0,0,0,0,0,,,58.0,150.0,True,42799.99575,True,NO,2. Approved
22,TAS0015003,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,AWS Certified Developer - Associate Level,https://linuxacademy.com/amazon-web-services/training/course/name/aws-certified-developer-associate-,AWS and Linux Academy,,,New,AWS Certified Developer - Associate Level,https://aws.amazon.com/certification/certified-developer-associate/,Yes,AWS Certified Developer - Associate Level - AWS Certified Developer - Associate Level,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,,Training Complete,4/22/17 0:00,4/22/17,08_Apr,08_Apr,FY17,FY17,Career growth,,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0,58.0,0,0,0,0,,,58.0,150.0,True,42828.575469999996,True,NO,3. Complete
23,TAS0016222,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,Certified Developer Associate,aws.amazon.com/certification,AWS,,,New,AWS Certified Developer ÛÒ Associate Level,aws.amazon.com/certification,Yes,AWS Certified Developer ÛÒ Associate Level - Certified Developer Associate,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,,Training Complete,4/24/17 0:00,4/26/17,08_Apr,08_Apr,FY17,FY17,Current project/role,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0,0.0,0,0,0,0,,,0.0,150.0,True,42851.643469999995,True,NO,3. Complete
24,TAS0015649,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,AWS Certified Developer Associate,https://linuxacademy.com/amazon-web-services/training/course/name/aws-certified-developer-associate-,Linux Academy,,,New,AWS Certified Developer Associate,https://aws.amazon.com/certification/certified-developer-associate/,Yes,AWS Certified Developer Associate - AWS Certified Developer Associate,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,,Approved,5/25/17 0:00,6/25/17,09_May,10_Jun,FY17,FY17,Career growth,,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,58.0,0,0,0,0,,,58.0,0.0,True,42839.53664,True,NO,2. Approved
25,TAS0015344,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Vendor All Other,Elective Course,Vendor All Other,Virtual,,AWS Certified Solutions Architect - Associate Level,https://linuxacademy.com/amazon-web-services/training/course/name/aws-certified-solutions-architect-,Linux Academy,,,,,,,AWS Certified Solutions Architect - Associate Level,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,,Approved,4/17/17 0:00,6/17/17,08_Apr,10_Jun,FY17,FY17,Other,,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,58.0,0,0,0,0,,,58.0,0.0,True,42835.709689999996,True,NO,2. Approved
26,TAS0014358,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,7,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,,,AWS,,,New,AWS Certified Solutions Architect - Associate,https://aws.amazon.com/certification/certified-solutions-architect-associate/,No,AWS Certified Solutions Architect - Associate,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,,Approved,4/28/17 0:00,6/23/17,08_Apr,10_Jun,FY17,FY17,Career growth,,2.0,No,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0,0.0,0,0,0,0,,,0.0,150.0,True,42810.88215,True,NO,2. Approved
27,TAS0015770,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,7,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Classroom,,,,Amazon Web Services,,,New,AWS Certified Solutions Architect ÛÒ Associate,https://aws.amazon.com/certification/certified-solutions-architect-associate/,No,AWS Certified Solutions Architect ÛÒ Associate,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,,Approved,4/27/17 0:00,4/27/17,08_Apr,08_Apr,FY17,FY17,Current project/role,,2.0,No,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0,0.0,0,0,0,0,,,0.0,150.0,True,42842.41877,True,NO,2. Approved
28,TAS0016010,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Classroom,,,,AWS,,,New,AWS Certified Solutions Architect ÛÒ Associate,https://aws.amazon.com/certification/certified-solutions-architect-associate,No,AWS Certified Solutions Architect ÛÒ Associate,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,,Training Complete,4/24/17 0:00,4/24/17,08_Apr,08_Apr,FY17,FY17,Current project/role,,2.0,No,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0,0.0,0,0,0,0,,,0.0,150.0,True,42845.60834,True,NO,3. Complete
29,TAS0010165,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,2 Months Access to Linux Academy for AWS Certified Solutions Architect - Associate Level course,https://linuxacademy.com/amazon-web-services/training/course/name/aws-certified-solutions-architect-,Linux Academy and AWS,,,New,AWS Certified Solutions Architect - Associate,https://aws.amazon.com/certification/certified-solutions-architect-associate/,Yes,AWS Certified Solutions Architect - Associate - 2 Months Access to Linux Academy for AWS Certified Solutions Architect - Associate Level course,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,,Training Complete,12/5/16 0:00,3/31/17,04_Dec,07_Mar,FY17,FY17,Career growth,,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0,58.0,0,0,0,0,,,58.0,150.0,True,42666.483960000005,True,NO,3. Complete
30,TAS0007963,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor (AWS or Tenable),Certification,Vendor (AWS or Tenable),Virtual,,Amazon Web Services Training,https://linuxacademy.com/amazon-web-services/training/course/name/aws-certified-solutions-architect-,Linux Academy,,,New,AWS Certified Solutions Architect - Associate,https://aws.amazon.com/certification/certified-solutions-architect-associate/,Yes,AWS Certified Solutions Architect - Associate - Amazon Web Services Training,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,,Training Complete,7/4/16 0:00,9/4/16,11_Jul,01_Sep,FY16,FY17,Other,,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0,79.0,0,0,0,0,,,0.0,229.0,True,42541.626319999996,True,NO,3. Complete
31,TAS0013262,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,7,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,AWS Certified Solutions Architect - Associate Level,https://linuxacademy.com/amazon-web-services/training/course/name/aws-certified-solutions-architect,Linux Academy,,,New,AWS Certified Solutions Architect - Associate,https://linuxacademy.com/amazon-web-services/training/course/name/aws-certified-solutions-architect,Yes,AWS Certified Solutions Architect - Associate - AWS Certified Solutions Architect - Associate Level,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,,Approved,3/13/17 0:00,5/13/17,07_Mar,09_May,FY17,FY17,Career growth,,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,58.0,0,0,0,0,,,58.0,0.0,True,42796.48818,True,NO,2. Approved
32,TAS0013446,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,AWS Certified Solutions Architect - Associate Level,https://linuxacademy.com/amazon-web-services/training/course/name/aws-certified-solutions-architect-,Linux Academy,,,New,AWS Certified Solutions Architect - Associate,https://aws.amazon.com/certification/certified-solutions-architect-associate/,Yes,AWS Certified Solutions Architect - Associate - AWS Certified Solutions Architect - Associate Level,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,,Training Complete,3/3/17 0:00,4/24/17,07_Mar,08_Apr,FY17,FY17,Accenture curriculum,,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0,58.0,0,0,0,0,,,58.0,150.0,True,42797.38667,True,NO,3. Complete
33,TAS0013564,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,AWS Certified Solutions Architect - Associate Level,https://linuxacademy.com/amazon-web-services/training/course/name/aws-certified-solutions-architect-,Linux Academy,,,New,AWS Certified Solutions Architect - Associate,https://www.webassessor.com/wa.do?page=publicHome&branding=AMAZON,Yes,AWS Certified Solutions Architect - Associate - AWS Certified Solutions Architect - Associate Level,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,,Approved,3/6/17 0:00,4/28/17,07_Mar,08_Apr,FY17,FY17,Career growth,,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0,58.0,0,0,0,0,,,58.0,150.0,True,42800.32645,True,NO,2. Approved
34,TAS0013697,TAS,Chicago GS 161 Clark St,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,AWS Certified Solutions Architect - Associate Level,https://linuxacademy.com/amazon-web-services/training/course/name/aws-certified-solutions-architect,Linux Academy (Request access to the Linux Academy),,,New,AWS Certified Solutions Architect - Associate,https://linuxacademy.com/,Yes,AWS Certified Solutions Architect - Associate - AWS Certified Solutions Architect - Associate Level,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,,Approved,3/10/17 0:00,7/31/17,07_Mar,11_Jul,FY17,FY17,Career growth,,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0,0.0,0,0,0,0,,,0.0,130.0,True,42800.685710000005,True,NO,2. Approved
